,User,Date,Tweet Text,Compound,Positive,Neutral,Negative,Tweets Ago
67,@BBC,Sat Jul 21 08:32:20 +0000 2018,RT @bbcweather: In Pictures: The dramatic effect of the UK heatwave https://t.co/xmdTbUlpTy Jo https://t.co/mKIjUw8Yhs,0.0,0.0,1.0,0.0,68
68,@BBC,Sat Jul 21 08:03:05 +0000 2018,"""I was training and missed it. I cried.""  ❤️️

@serenawilliams has opened up about missing her baby's first steps.… https://t.co/h7B11Zrvxy",-0.5267,0.0,0.794,0.206,69
69,@BBC,Sat Jul 21 07:03:03 +0000 2018,"Should we be allowed to modify human DNA in future children? 🔬

An inquiry has found editing human embryos 'morally… https://t.co/ym7J8WiOLt",0.0,0.0,1.0,0.0,70
70,@BBC,Fri Jul 20 19:02:04 +0000 2018,From honeymoon horror to a dine and dash: this is what happens when holiday romances go wrong. 🏝😳💔… https://t.co/o0skuAQ21P,-0.4215,0.194,0.543,0.264,71
71,@BBC,Fri Jul 20 18:03:08 +0000 2018,🏥🎶 Every member of this choir is here on doctor's orders. https://t.co/5GLpzwPzwU,0.0,0.0,1.0,0.0,72
72,@BBC,Fri Jul 20 17:02:06 +0000 2018,"📺 @louistheroux dives into the BBC Archives and selects his favourite documentaries.

Louis Theroux: Docs That Made… https://t.co/Hun3M35ZEQ",0.0,0.0,1.0,0.0,73
73,@BBC,Fri Jul 20 15:59:00 +0000 2018,Actual footage of me leaving work for the weekend and not looking back... 👋 #FridayFeeling https://t.co/Ppg3Qk7fj3,0.4939,0.167,0.833,0.0,74
74,@BBC,Fri Jul 20 14:56:18 +0000 2018,"RT @BBCBreaking: Several people wounded in knife attack on bus in northern German city of Luebeck, reports say https://t.co/SS7enQBT3h",-0.4767,0.0,0.853,0.147,75
75,@BBC,Fri Jul 20 14:53:06 +0000 2018,"RT @BBCWomansHour: It's not easy, it can be uncomfortable &amp; nerve racking...📣 so why speak out? @charlottechurch tells us what drives her t…",-0.6131,0.0,0.808,0.192,76
76,@BBC,Fri Jul 20 14:52:46 +0000 2018,RT @BBCWomansHour: What does @KatiePrice have to say to her critics? She tells us what pushes her to keep going even when she feels under a…,-0.296,0.0,0.919,0.081,77
77,@BBC,Fri Jul 20 14:31:04 +0000 2018,"A can of lager and a packet of custard creams are the secret to a long life for Eileen, a Blackpool woman celebrati… https://t.co/y5KL6atB0O",0.0,0.0,1.0,0.0,78
78,@BBC,Fri Jul 20 13:35:41 +0000 2018,"RT @BBCNewsround: Did you know there are 25,000 children addicted to gambling in Britain? Find out more about gambling, gaming and why it i…",0.0,0.0,1.0,0.0,79
79,@BBC,Fri Jul 20 13:33:22 +0000 2018,"David Attenborough wants you to get out a chair and spot some 🦋🦋🦋 

And you can't say no to such a legend...… https://t.co/PKWvebWrHz",0.2235,0.086,0.914,0.0,80
80,@BBC,Fri Jul 20 13:03:04 +0000 2018,"Korean is rapidly growing in popularity, in a language-learning boom driven by the popularity of the country's… https://t.co/t9EfT4am8g",0.7845,0.361,0.639,0.0,81
81,@BBC,Fri Jul 20 13:01:24 +0000 2018,RT @BBCArchive: #OnThisDay 1969: Mankind made one giant leap. https://t.co/Szfw85ebOP,0.0,0.0,1.0,0.0,82
82,@BBC,Fri Jul 20 12:02:04 +0000 2018,🐻🍞♥️ Who doesn't love a teddy bear?  https://t.co/Pxd4u1WYLa,-0.5216,0.0,0.64,0.36,83
83,@BBC,Fri Jul 20 11:21:07 +0000 2018,"From satirical cartoons to original Rembrandts and taxidermy geese, there’s plenty to intrigue art lovers this summ… https://t.co/9YDofEBDLI",0.6908,0.263,0.737,0.0,84
84,@BBC,Fri Jul 20 10:48:43 +0000 2018,"RT @BBCEngland: 🦋 If Sir David Attenborough wants us to count butterflies, we'll count butterflies... 🦋

#butterflycount

https://t.co/wlWn…",0.0,0.0,1.0,0.0,85
85,@BBC,Fri Jul 20 10:44:50 +0000 2018,😍🐾 The 150th anniversary of the founding of the golden retriever has been celebrated at the breed's ancestral home… https://t.co/MP2ijSzMFg,0.5719,0.163,0.837,0.0,86
86,@BBC,Fri Jul 20 09:11:11 +0000 2018,👀 First look at brand new #DoctorWho https://t.co/V9UpeFtwMa,0.0,0.0,1.0,0.0,87
87,@BBC,Fri Jul 20 08:01:07 +0000 2018,🔥 Fashion icon? https://t.co/8qdFXbOxmE,-0.34,0.0,0.556,0.444,88
88,@BBC,Fri Jul 20 07:25:07 +0000 2018,⚡️🚙 Half of young people in the UK would like to own an electric car – compared with just a quarter of their parent… https://t.co/wccWjtuyky,0.3612,0.102,0.898,0.0,89
89,@BBC,Fri Jul 20 07:02:03 +0000 2018,🌳 These curious 'animals' have been popping up in one London neighbourhood. https://t.co/EaVZ5RovIq,0.3182,0.15,0.85,0.0,90
90,@BBC,Thu Jul 19 19:01:04 +0000 2018,"When walking alone at night, it's not as simple as ""be safe"". https://t.co/OcJyZ4Q0fQ",-0.25,0.0,0.857,0.143,91
91,@BBC,Thu Jul 19 18:57:05 +0000 2018,⚡️💡 These brothers from Ghana are using cassavas to generate electricity. https://t.co/CtNj20Hf14,0.0,0.0,1.0,0.0,92
