,User,Date,Tweet Text,Compound,Positive,Neutral,Negative,Tweets Ago
40,@BBC,Fri Jul 27 15:16:01 +0000 2018,"👀 Who's excited to see the #BloodMoon tonight? 
#LunarEclipse https://t.co/jhx3zLDOTS",0.34,0.211,0.789,0.0,41
41,@BBC,Fri Jul 27 13:01:03 +0000 2018,"👃💐 How teenage perfumes smell to you - an actual adult.
👉 https://t.co/PCRmoujpVJ https://t.co/P0tmdqfbUC",0.0,0.0,1.0,0.0,42
42,@BBC,Fri Jul 27 12:50:53 +0000 2018,"RT @BBCEarth: Just a seal getting a good tummy-rub from a diver, no biggie 😍

#OurBluePlanet with @Sealdiver https://t.co/L8yAINvPdJ",0.5719,0.245,0.664,0.091,43
43,@BBC,Fri Jul 27 12:24:44 +0000 2018,😳 This man wants people to stop pretending to have sex with his hedge. https://t.co/VbuY1xtbQ1,-0.2023,0.08,0.795,0.125,44
44,@BBC,Fri Jul 27 12:14:56 +0000 2018,RT @BBCClick: The @BBCProms projection show at the Royal Albert Hall had lights so strong that planes were told not to fly over it! https:/…,0.674,0.159,0.841,0.0,45
45,@BBC,Fri Jul 27 12:00:18 +0000 2018,⛷🐶 This is one way to keep dogs cool in the heat! https://t.co/ObXmR8febC,0.3802,0.178,0.822,0.0,46
46,@BBC,Fri Jul 27 11:02:04 +0000 2018,"🔬 From 'the God particle' to our ability to observe gravitational waves, here are 7 extraordinary things science ha… https://t.co/j4tgSCx3vl",0.5267,0.206,0.794,0.0,47
47,@BBC,Fri Jul 27 09:51:01 +0000 2018,"👀🌝 Skywatchers will be treated to the longest ""blood moon"" eclipse of the century tonight, with the totality period… https://t.co/w1Eoi6fA9R",0.0,0.0,1.0,0.0,48
48,@BBC,Fri Jul 27 09:38:09 +0000 2018,RT @bbccomedy: British or American Stand-up? 🤔🇬🇧🇺🇸 https://t.co/HBxD8YmCSZ,0.0,0.0,1.0,0.0,49
49,@BBC,Fri Jul 27 08:00:16 +0000 2018,😂 A Scottish three year old's take on the summer holidays. https://t.co/SaCbnnlnUm,0.6705,0.315,0.591,0.094,50
50,@BBC,Fri Jul 27 07:26:02 +0000 2018,❤️📝 A teenager who attached uplifting messages to a bridge to help people facing a mental health crisis has helped… https://t.co/gGO3mXQkkd,-0.34,0.118,0.702,0.18,51
51,@BBC,Fri Jul 27 07:01:03 +0000 2018,💔 @BoyGeorge discovers that in 1919 his grandmother was found wandering the streets alone as a 6 year old child.… https://t.co/CmyXz2oGYr,-0.6249,0.0,0.779,0.221,52
52,@BBC,Thu Jul 26 19:02:05 +0000 2018,"After being abused on dating apps for having HIV, Joe has turned to art to help combat the stigma. 
(via @BBCThree) https://t.co/b6mar28jBl",-0.4588,0.099,0.693,0.208,53
53,@BBC,Thu Jul 26 18:02:07 +0000 2018,"Tonight, a team of inventors attempt to change the lives of three inspiring people with very different problems. 💡… https://t.co/L7yN0qkCNz",-0.046,0.123,0.746,0.131,54
54,@BBC,Thu Jul 26 17:01:06 +0000 2018,A dog called Minnie has been reunited with her owners two years after thieves stole a truck she was sleeping in. 🐶… https://t.co/CzeVkauFSx,-0.5106,0.0,0.858,0.142,55
55,@BBC,Thu Jul 26 16:11:16 +0000 2018,"RT @bbcpress: Late for the first game of @BBCMOTD, missed the first dance on #Strictly or tuned in halfway through #EastEnders? Pushing the…",-0.296,0.0,0.909,0.091,56
56,@BBC,Thu Jul 26 16:02:03 +0000 2018,"😀♥️ Four-year-old Daniel and 91-year-old Stuart, who has dementia, have struck up an unlikely friendship.  https://t.co/DVpVhIssTc",0.2263,0.153,0.741,0.106,57
57,@BBC,Thu Jul 26 15:40:44 +0000 2018,RT @bbcweather: It is officially the hottest day of the year so far in the UK with temperatures soaring to 35C in west London. https://t.co…,0.0,0.0,1.0,0.0,58
58,@BBC,Thu Jul 26 13:01:05 +0000 2018,"""I would like to do it all over again. There was a war on but otherwise it was absolutely wonderful."" ❤️️

Remember… https://t.co/1cSKgxW5gF",-0.1779,0.072,0.826,0.101,59
59,@BBC,Thu Jul 26 12:02:06 +0000 2018,"😮 You don't want to get between two fighting kangaroos!
#LifeStory https://t.co/xX95kVkWJU",-0.4614,0.0,0.764,0.236,60
60,@BBC,Thu Jul 26 11:00:16 +0000 2018,"A record number of primary school children are leaving school severely obese, according to new figures from Public… https://t.co/nmc8w0pnGW",-0.4019,0.064,0.788,0.148,61
61,@BBC,Thu Jul 26 08:45:35 +0000 2018,"RT @BBCEngland: The last living female pilot from World War Two, Mary Ellis, has died aged 101 at her home on the Isle of Wight https://t.c…",-0.8176,0.0,0.762,0.238,62
62,@BBC,Thu Jul 26 08:00:00 +0000 2018,"This school is tackling their single-use plastic problem one lunchbox at a time.
#PlasticsAction https://t.co/dBJBC46C06",-0.4019,0.0,0.828,0.172,63
63,@BBC,Thu Jul 26 07:28:06 +0000 2018,We call violence an ‘epidemic’ – and there is reason to take that literally... treating it like an infectious disea… https://t.co/871oH89IB6,-0.3818,0.102,0.732,0.167,64
64,@BBC,Thu Jul 26 07:01:02 +0000 2018,"♨️😴 Having trouble sleeping in this heatwave?
#HeatwaveUK https://t.co/N8Nstm5gC7",-0.4019,0.0,0.748,0.252,65
65,@BBC,Wed Jul 25 19:02:00 +0000 2018,"Colin Firth stars in an award-winning adaptation of Jane Austen's classic romance. 📚😍

Pride and Prejudice |… https://t.co/bgxyIt8i5g",0.4019,0.247,0.617,0.136,66
66,@BBC,Wed Jul 25 18:02:05 +0000 2018,"From @rosskemp to @sirpatstew: these are the ultimate Extras celebrity cameos. 😂

https://t.co/MzLh704sPC",0.4404,0.184,0.725,0.092,67
67,@BBC,Wed Jul 25 16:02:05 +0000 2018,"Is this Africa’s most inventive neighbourhood? 💡🌿🥑

https://t.co/xgeQCMM1XP",0.0,0.0,1.0,0.0,68
68,@BBC,Wed Jul 25 14:37:40 +0000 2018,"Researchers have found evidence of an existing body of liquid water on Mars.
👉 https://t.co/cmykUjdfxy https://t.co/F45qHNXcOR",0.0,0.0,1.0,0.0,69
69,@BBC,Wed Jul 25 13:57:01 +0000 2018,RT @BBCWthrWatchers: On Friday night you may see the moon turn red during a total lunar eclipse. Lasting 1 hr 40 mins it will be the longes…,0.0,0.0,1.0,0.0,70
70,@BBC,Wed Jul 25 13:02:05 +0000 2018,"💉 A jab that protects against a virus that causes cervical cancer will be given to boys aged 12 to 13 in England.
👉… https://t.co/joOj8vMupR",-0.4767,0.083,0.758,0.159,71
71,@BBC,Wed Jul 25 12:40:25 +0000 2018,"RT @bbcpress: 🤣 Want to write comedy? Want a six-month bursary to train and develop your skills at the BBC?
⏰ TIME IS RUNNING OUT! The dead…",0.6759,0.24,0.696,0.064,72
72,@BBC,Wed Jul 25 12:03:04 +0000 2018,"🌊🐬 These dolphins were rescued after getting stranded in shallow water in Tasmania. 

https://t.co/MRqRBxsctW",0.4215,0.177,0.823,0.0,73
73,@BBC,Wed Jul 25 11:02:03 +0000 2018,"'I downloaded all my Facebook data and it was a nightmare'. 💻🤦‍♀️

Have you ever wondered what your data actually l… https://t.co/0sNfkSket7",0.0,0.0,1.0,0.0,74
74,@BBC,Wed Jul 25 08:04:03 +0000 2018,"A startling insight into how society viewed the role of women in the 20th century. #WashesWhiter

https://t.co/BIoTfZ5DPG",0.0772,0.08,0.92,0.0,75
75,@BBC,Wed Jul 25 07:31:07 +0000 2018,"A watchdog has warned that the packaging you recycle 'may end up in landfill'. ♻️🗑

https://t.co/7q7NwFYVBh https://t.co/8SqE3kZ3j8",-0.2732,0.0,0.877,0.123,76
76,@BBC,Wed Jul 25 07:02:05 +0000 2018,"Why we should all love whale poo... 💚🐋💩 

#OurBluePlanet

https://t.co/VePUiOOE3F",0.6369,0.318,0.682,0.0,77
77,@BBC,Tue Jul 24 19:03:05 +0000 2018,"Fish are losing their sense of smell because of a rise in CO2 levels, according to new research. 🐟💔… https://t.co/9EWLY0pLrH",-0.3818,0.0,0.874,0.126,78
78,@BBC,Tue Jul 24 18:00:19 +0000 2018,The best way EVER to deal with a scam. https://t.co/nqWGYEEBy4,0.128,0.282,0.47,0.248,79
